query_index,elapsed_sec,target_pressure_pct,actual_pressure_pct,latency_ms
1,0.0,0.0,0.0,11.1226
2,0.0114,0.027,0.0,5.317
3,0.0167,0.04,0.0,3.888
4,0.0207,0.049,0.0,3.166
5,0.0239,0.057,0.0,2.8528
6,0.0268,0.064,0.0,3.2701
7,0.0301,0.071,0.0,3.358
8,0.0335,0.079,0.057,3.4718
9,0.037,0.088,0.057,3.0033
10,0.04,0.095,0.057,2.5499
11,0.0426,0.101,0.057,2.5332
12,0.0452,0.107,0.057,2.5188
13,0.0477,0.113,0.057,2.4727
14,0.0502,0.119,0.057,2.3849
15,0.0526,0.125,0.057,2.3634
16,0.055,0.131,0.057,2.2699
17,0.0573,0.136,0.057,2.3318
18,0.0597,0.142,0.057,2.2705
19,0.062,0.147,0.057,2.4632
20,0.0645,0.153,0.057,2.6732
21,0.0672,0.16,0.057,2.9696
22,0.0702,0.167,0.057,2.4046
23,0.0726,0.172,0.106,2.8775
24,0.0755,0.179,0.106,2.5675
25,0.0781,0.185,0.153,2.9009
26,0.081,0.192,0.153,2.928
27,0.084,0.199,0.153,2.9523
28,0.087,0.207,0.153,2.9727
29,0.09,0.214,0.153,2.4313
30,0.0924,0.22,0.153,2.821
31,0.0953,0.226,0.153,2.6175
32,0.0979,0.233,0.153,2.4903
33,0.1004,0.239,0.153,2.588
34,0.1031,0.245,0.153,2.3639
35,0.1055,0.25,0.153,2.21
36,0.1077,0.256,0.153,2.262
37,0.11,0.261,0.153,2.3228
38,0.1123,0.267,0.153,2.256
39,0.1146,0.272,0.153,2.219
40,0.1169,0.278,0.153,2.3699
41,0.1193,0.283,0.153,2.3381
42,0.1216,0.289,0.153,2.2614
43,0.1239,0.294,0.153,3.6654
44,0.1276,0.303,0.153,3.2304
45,0.1309,0.311,0.203,3.648
46,0.1347,0.32,0.253,3.9671
47,0.1387,0.329,0.253,3.8639
48,0.1426,0.339,0.289,3.2054
49,0.1459,0.347,0.289,3.2063
50,0.1492,0.354,0.289,3.4231
51,0.1527,0.363,0.289,3.2804
52,0.1561,0.371,0.289,3.1262
53,0.1592,0.378,0.289,2.7729
54,0.162,0.385,0.289,3.5386
55,0.1656,0.393,0.289,2.9923
56,0.1687,0.401,0.289,3.1761
57,0.1719,0.408,0.289,3.7666
58,0.1757,0.417,0.289,3.4324
59,0.1793,0.426,0.289,2.4401
60,0.1817,0.432,0.289,2.5696
61,0.1843,0.438,0.289,2.6547
62,0.187,0.444,0.289,2.5204
63,0.1896,0.45,0.289,2.523
64,0.1921,0.456,0.289,2.4926
65,0.1947,0.462,0.289,2.5902
66,0.1973,0.469,0.289,2.4651
67,0.1998,0.475,0.289,2.2561
68,0.2021,0.48,0.289,2.3306
69,0.2044,0.486,0.289,3.8927
70,0.2084,0.495,0.289,3.4475
71,0.2119,0.503,0.339,3.7362
72,0.2157,0.512,0.388,3.9204
73,0.2197,0.522,0.388,4.2854
74,0.2241,0.532,0.438,3.7363
75,0.2279,0.541,0.48,3.7868
76,0.2318,0.55,0.48,3.1907
77,0.235,0.558,0.48,3.7
78,0.2388,0.567,0.48,3.0229
79,0.2419,0.574,0.48,3.2087
80,0.2451,0.582,0.48,2.9023
81,0.2481,0.589,0.48,3.3006
82,0.2514,0.597,0.48,2.741
83,0.2542,0.604,0.48,3.2767
84,0.2576,0.612,0.48,3.1223
85,0.2607,0.619,0.48,3.1931
86,0.264,0.627,0.48,2.9902
87,0.267,0.634,0.48,3.4613
88,0.2705,0.642,0.48,2.7516
89,0.2733,0.649,0.48,3.2917
90,0.2766,0.657,0.48,2.6026
91,0.2793,0.663,0.48,3.481
92,0.2828,0.672,0.48,2.8162
93,0.2857,0.678,0.48,3.1668
94,0.2889,0.686,0.48,2.495
95,0.2914,0.692,0.48,2.5338
96,0.294,0.698,0.48,2.5016
97,0.2966,0.704,0.48,2.4339
98,0.299,0.71,0.48,2.3305
99,0.3014,0.716,0.48,2.3659
100,0.3038,0.722,0.48,2.4468
101,0.3063,0.727,0.48,2.3337
102,0.3087,0.733,0.48,2.2751
103,0.311,0.739,0.48,2.3144
104,0.3133,0.744,0.48,2.212
105,0.3156,0.749,0.48,2.9314
106,0.3185,0.757,0.48,3.1324
107,0.3217,0.764,0.53,3.6548
108,0.3255,0.773,0.53,3.2623
109,0.3289,0.781,0.579,3.9222
110,0.3329,0.791,0.629,3.8095
111,0.3368,0.8,0.629,3.3449
112,0.3402,0.808,0.679,3.6267
113,0.3439,0.817,0.729,3.5974
114,0.3476,0.826,0.749,3.8659
115,0.3515,0.835,0.749,3.1757
116,0.3548,0.843,0.749,3.4582
117,0.3583,0.851,0.749,3.3921
118,0.3617,0.859,0.749,3.1231
119,0.3649,0.867,0.749,3.1111
120,0.3681,0.874,0.749,3.1683
121,0.3713,0.882,0.749,3.44
122,0.3748,0.89,0.749,3.1364
123,0.3779,0.898,0.749,3.2965
124,0.3813,0.906,0.749,3.1296
125,0.3845,0.913,0.749,3.0661
126,0.3876,0.92,0.749,3.2762
127,0.3909,0.928,0.749,3.2554
128,0.3942,0.936,0.749,3.0026
129,0.3972,0.943,0.749,3.3665
130,0.4007,0.952,0.749,2.8783
131,0.4036,0.959,0.749,3.1683
132,0.4068,0.966,0.749,2.8914
133,0.4097,0.973,0.749,3.1184
134,0.4129,0.981,0.749,2.7193
135,0.4157,0.987,0.749,3.3508
136,0.419,0.995,0.749,2.9152
137,0.422,1.002,0.749,3.2459
138,0.4253,1.01,0.749,3.1267
139,0.4285,1.018,0.749,3.1358
140,0.4317,1.025,0.749,3.0061
141,0.4347,1.032,0.749,2.9235
142,0.4377,1.039,0.749,3.3357
143,0.441,1.047,0.749,2.6987
144,0.4438,1.054,0.749,3.4808
145,0.4473,1.062,0.749,2.9666
146,0.4503,1.07,0.749,2.7702
147,0.4531,1.076,0.749,2.5256
148,0.4557,1.082,0.749,2.3268
149,0.4581,1.088,0.749,2.4912
150,0.4606,1.094,0.749,2.3811
151,0.463,1.1,0.749,2.3839
152,0.4654,1.105,0.749,2.5582
153,0.468,1.112,0.749,2.2821
154,0.4703,1.117,0.749,2.5495
155,0.4729,1.123,0.749,2.6575
156,0.4756,1.13,0.749,2.5044
157,0.4782,1.136,0.749,3.141
158,0.4813,1.143,0.749,3.4789
159,0.4849,1.152,0.799,3.9182
160,0.4889,1.161,0.799,4.4305
161,0.4935,1.172,0.849,3.4357
162,0.497,1.18,0.899,3.7472
163,0.5009,1.19,0.948,3.6775
164,0.5046,1.198,0.948,3.1854
165,0.5079,1.206,0.998,3.5698
166,0.5116,1.215,0.998,3.9704
167,0.5156,1.225,1.048,3.6735
168,0.5194,1.234,1.097,3.3348
169,0.5228,1.242,1.13,3.5681
170,0.5265,1.25,1.13,3.2581
171,0.5298,1.258,1.13,3.3571
172,0.5332,1.266,1.13,3.1209
173,0.5364,1.274,1.13,3.078
174,0.5395,1.281,1.13,3.2604
175,0.5429,1.289,1.13,2.9095
176,0.5458,1.296,1.13,3.4641
177,0.5493,1.305,1.13,3.284
178,0.5527,1.313,1.13,3.1332
179,0.5559,1.32,1.13,3.0195
180,0.559,1.328,1.13,3.2421
181,0.5623,1.335,1.13,3.0166
182,0.5653,1.343,1.13,3.7971
183,0.5692,1.352,1.13,3.1648
184,0.5724,1.359,1.13,3.3822
185,0.5758,1.368,1.13,3.007
186,0.5789,1.375,1.13,3.071
187,0.582,1.382,1.13,3.0059
188,0.585,1.389,1.13,3.2395
189,0.5883,1.397,1.13,2.8323
190,0.5911,1.404,1.13,3.2219
191,0.5944,1.412,1.13,3.1065
192,0.5975,1.419,1.13,3.18
193,0.6008,1.427,1.13,3.2328
194,0.604,1.435,1.13,3.162
195,0.6072,1.442,1.13,2.9212
196,0.6102,1.449,1.13,3.0208
197,0.6132,1.456,1.13,3.3641
198,0.6166,1.464,1.13,2.9155
199,0.6196,1.471,1.13,3.1224
200,0.6227,1.479,1.13,2.6265
201,0.6254,1.485,1.13,2.5264
202,0.628,1.491,1.13,2.8286
203,0.6308,1.498,1.13,2.5181
204,0.6334,1.504,1.13,3.1085
205,0.6365,1.512,1.13,2.9615
206,0.6395,1.519,1.13,3.0836
207,0.6426,1.526,1.13,3.2438
208,0.6459,1.534,1.13,3.439
209,0.6494,1.542,1.13,3.2805
210,0.6527,1.55,1.13,3.1193
211,0.6558,1.558,1.13,3.1212
212,0.659,1.565,1.13,2.6346
213,0.6617,1.571,1.13,2.9368
214,0.6646,1.578,1.13,2.8891
215,0.6675,1.585,1.13,3.0513
216,0.6706,1.593,1.13,2.8708
217,0.6735,1.6,1.13,2.7317
218,0.6763,1.606,1.13,3.1317
219,0.6794,1.614,1.13,2.6917
220,0.6822,1.62,1.13,3.1669
221,0.6854,1.628,1.13,2.243
222,0.6876,1.633,1.13,2.1831
223,0.6898,1.638,1.13,2.2396
224,0.6921,1.644,1.13,2.4654
225,0.6946,1.65,1.13,2.2669
226,0.6969,1.655,1.13,2.1844
227,0.6991,1.66,1.13,2.2244
228,0.7014,1.666,1.13,2.3685
229,0.7038,1.671,1.13,2.363
230,0.7061,1.677,1.13,2.3787
231,0.7086,1.683,1.13,2.2263
232,0.7108,1.688,1.13,2.9034
233,0.7138,1.695,1.13,3.4094
234,0.7173,1.703,1.179,3.4978
235,0.7209,1.712,1.179,3.0444
236,0.724,1.719,1.229,3.5024
237,0.7276,1.728,1.229,3.6265
238,0.7313,1.737,1.279,3.2081
239,0.7346,1.745,1.328,3.7792
240,0.7385,1.754,1.328,3.7555
241,0.7424,1.763,1.378,3.714
242,0.7462,1.772,1.428,4.0124
243,0.7503,1.782,1.428,3.4325
244,0.7538,1.79,1.478,3.6204
245,0.7576,1.799,1.527,4.0918
246,0.7617,1.809,1.527,3.8609
247,0.7657,1.819,1.577,3.4457
248,0.7692,1.827,1.627,3.5871
249,0.7729,1.836,1.627,4.115
250,0.7771,1.846,1.688,3.4901
251,0.7807,1.854,1.688,3.0285
252,0.7838,1.862,1.688,3.2569
253,0.7871,1.869,1.688,3.3055
254,0.7905,1.877,1.688,3.4398
255,0.794,1.886,1.688,2.6292
256,0.7967,1.892,1.688,3.0334
257,0.7998,1.899,1.688,2.7275
258,0.8025,1.906,1.688,3.1353
259,0.8057,1.914,1.688,3.0428
260,0.8088,1.921,1.688,3.231
261,0.8121,1.929,1.688,2.7232
262,0.8148,1.935,1.688,3.2298
263,0.8181,1.943,1.688,3.1998
264,0.8214,1.951,1.688,3.282
265,0.8247,1.959,1.688,3.1782
266,0.8279,1.966,1.688,3.3769
267,0.8313,1.974,1.688,3.303
268,0.8346,1.982,1.688,3.0012
269,0.8377,1.989,1.688,3.3634
270,0.8411,1.998,1.688,3.3403
271,0.8445,2.006,1.688,3.3854
272,0.8479,2.014,1.688,3.1926
273,0.8511,2.021,1.688,3.3678
274,0.8545,2.03,1.688,2.5465
275,0.8571,2.036,1.688,3.0026
276,0.8601,2.043,1.688,2.838
277,0.863,2.05,1.688,3.1336
278,0.8662,2.057,1.688,3.1996
279,0.8694,2.065,1.688,3.3746
280,0.8728,2.073,1.688,3.2494
281,0.8761,2.081,1.688,3.0565
282,0.8792,2.088,1.688,2.8397
283,0.8821,2.095,1.688,3.4622
284,0.8856,2.103,1.688,3.0541
285,0.8887,2.111,1.688,3.4638
286,0.8922,2.119,1.688,2.4349
287,0.8946,2.125,1.688,3.133
288,0.8978,2.132,1.688,3.0256
289,0.9008,2.139,1.688,3.4393
290,0.9043,2.148,1.688,3.5114
291,0.9079,2.156,1.688,3.0619
292,0.9109,2.163,1.688,3.5416
293,0.9145,2.172,1.688,2.6972
294,0.9173,2.178,1.688,2.9809
295,0.9203,2.186,1.688,2.7291
296,0.923,2.192,1.688,2.9696
297,0.926,2.199,1.688,3.1842
298,0.9292,2.207,1.688,3.1086
299,0.9324,2.214,1.688,2.9174
300,0.9353,2.221,1.688,3.3873
301,0.9388,2.23,1.688,3.0197
302,0.9418,2.237,1.688,3.1192
303,0.945,2.244,1.688,3.1253
304,0.9481,2.252,1.688,3.2339
305,0.9514,2.26,1.688,3.2169
306,0.9547,2.267,1.688,3.1016
307,0.9578,2.275,1.688,3.1363
308,0.961,2.282,1.688,2.5928
309,0.9636,2.289,1.688,3.1233
310,0.9667,2.296,1.688,2.7831
311,0.9696,2.303,1.688,3.1661
312,0.9728,2.31,1.688,2.968
313,0.9758,2.317,1.688,3.0483
314,0.9788,2.325,1.688,3.1334
315,0.982,2.332,1.688,3.2739
316,0.9853,2.34,1.688,3.2252
317,0.9886,2.348,1.688,3.078
318,0.9917,2.355,1.688,3.0386
319,0.9947,2.363,1.688,2.6324
320,0.9974,2.369,1.688,3.2583
321,1.0007,2.377,1.688,2.8448
322,1.0036,2.384,1.688,3.0407
323,1.0067,2.391,1.688,3.2442
324,1.0099,2.399,1.688,2.8734
325,1.0128,2.406,1.688,2.2075
326,1.0151,2.411,1.688,2.1614
327,1.0173,2.416,1.688,2.1771
328,1.0195,2.421,1.688,2.2247
329,1.0217,2.427,1.688,2.5364
330,1.0243,2.433,1.688,2.4122
331,1.0268,2.439,1.688,2.4209
332,1.0292,2.444,1.688,2.5105
333,1.0318,2.45,1.688,2.456
334,1.0342,2.456,1.688,2.2506
335,1.0365,2.462,1.688,2.6698
336,1.0392,2.468,1.688,3.295
337,1.0426,2.476,1.688,3.6503
338,1.0463,2.485,1.738,3.4232
339,1.0498,2.493,1.788,3.5825
340,1.0535,2.502,1.788,3.2609
341,1.0569,2.51,1.837,3.7741
342,1.0608,2.519,1.887,3.593
343,1.0645,2.528,1.887,3.2471
344,1.0678,2.536,1.937,3.4723
345,1.0714,2.545,1.986,4.1967
346,1.0757,2.555,1.986,3.5088
347,1.0793,2.563,2.036,3.5724
348,1.083,2.572,2.086,3.8386
349,1.0869,2.581,2.086,3.7984
350,1.0909,2.591,2.136,3.5641
351,1.0946,2.6,2.185,3.9618
352,1.0987,2.609,2.185,3.7732
353,1.1025,2.619,2.235,3.173
354,1.1058,2.626,2.285,3.8929
355,1.1098,2.636,2.285,4.3046
356,1.1142,2.646,2.335,3.5629
357,1.1179,2.655,2.384,3.5827
358,1.1216,2.664,2.434,3.7044
359,1.1254,2.673,2.462,4.038
360,1.1296,2.683,2.462,2.8937
361,1.1326,2.69,2.462,3.3737
362,1.136,2.698,2.462,3.0746
363,1.1391,2.705,2.462,3.2372
364,1.1424,2.713,2.462,3.2381
365,1.1457,2.721,2.462,3.4605
366,1.1492,2.729,2.462,3.2183
367,1.1525,2.737,2.462,3.4874
368,1.1561,2.746,2.462,3.2111
369,1.1594,2.753,2.462,3.3358
370,1.1627,2.762,2.462,2.8106
371,1.1656,2.768,2.462,3.0704
372,1.1687,2.776,2.462,2.9071
373,1.1717,2.783,2.462,3.2668
374,1.175,2.791,2.462,3.0207
375,1.1781,2.798,2.462,3.1064
376,1.1812,2.805,2.462,3.0993
377,1.1843,2.813,2.462,2.9843
378,1.1874,2.82,2.462,3.0909
379,1.1905,2.827,2.462,2.8352
380,1.1934,2.834,2.462,3.2336
381,1.1967,2.842,2.462,2.593
382,1.1993,2.848,2.462,3.1689
383,1.2025,2.856,2.462,2.9497
384,1.2055,2.863,2.462,3.0592
385,1.2086,2.87,2.462,3.117
386,1.2117,2.878,2.462,2.4913
387,1.2143,2.884,2.462,3.2602
388,1.2176,2.892,2.462,2.7218
389,1.2203,2.898,2.462,3.0481
390,1.2234,2.906,2.462,3.1082
391,1.2265,2.913,2.462,3.2666
392,1.2298,2.921,2.462,3.2457
393,1.2331,2.929,2.462,2.9935
394,1.2361,2.936,2.462,3.2122
395,1.2394,2.944,2.462,3.211
396,1.2426,2.951,2.462,3.1534
397,1.2458,2.959,2.462,3.1969
398,1.249,2.966,2.462,2.6443
399,1.2517,2.973,2.462,3.1779
400,1.2549,2.98,2.462,2.5057
401,1.2575,2.987,2.462,2.9918
402,1.2605,2.994,2.462,2.9966
403,1.2636,3.001,2.462,3.0203
404,1.2666,3.008,2.462,3.1851
405,1.2698,3.016,2.462,2.7197
406,1.2726,3.022,2.462,3.4229
407,1.2761,3.031,2.462,2.7856
408,1.2789,3.037,2.462,3.3325
409,1.2823,3.045,2.462,2.8842
410,1.2852,3.052,2.462,3.1506
411,1.2883,3.06,2.462,2.507
412,1.2909,3.066,2.462,2.8778
413,1.2938,3.073,2.462,3.1986
414,1.297,3.08,2.462,2.9242
415,1.3,3.087,2.462,3.0913
416,1.3031,3.095,2.462,2.7832
417,1.3059,3.102,2.462,3.4159
418,1.3094,3.11,2.462,2.9791
419,1.3124,3.117,2.462,3.2387
420,1.3156,3.125,2.462,2.9261
421,1.3186,3.132,2.462,3.2451
422,1.3219,3.139,2.462,2.9289
423,1.3248,3.147,2.462,3.1385
424,1.328,3.154,2.462,2.8738
425,1.3309,3.161,2.462,2.9843
426,1.3339,3.168,2.462,2.8915
427,1.3369,3.175,2.462,2.8065
428,1.3397,3.182,2.462,3.0483
429,1.3428,3.189,2.462,2.558
430,1.3454,3.195,2.462,3.0992
431,1.3485,3.203,2.462,2.9944
432,1.3515,3.21,2.462,2.9648
433,1.3545,3.217,2.462,2.9395
434,1.3575,3.224,2.462,2.7675
435,1.3603,3.231,2.462,3.1069
436,1.3634,3.238,2.462,2.9591
437,1.3664,3.245,2.462,2.9461
438,1.3694,3.252,2.462,3.069
439,1.3725,3.26,2.462,2.8886
440,1.3754,3.267,2.462,3.0337
441,1.3785,3.274,2.462,2.6003
442,1.3811,3.28,2.462,2.9486
443,1.3841,3.287,2.462,3.3092
444,1.3874,3.295,2.462,3.4814
445,1.3909,3.303,2.462,3.0147
446,1.394,3.311,2.462,2.8444
447,1.3969,3.318,2.462,3.2613
448,1.4002,3.325,2.462,3.0262
449,1.4032,3.333,2.462,2.8964
450,1.4061,3.34,2.462,2.7604
451,1.409,3.346,2.462,2.9613
452,1.412,3.353,2.462,2.806
453,1.4148,3.36,2.462,3.0383
454,1.4179,3.367,2.462,3.3376
455,1.4212,3.375,2.462,3.2955
456,1.4246,3.383,2.462,2.9125
457,1.4275,3.39,2.462,2.9132
458,1.4305,3.397,2.462,3.2351
459,1.4337,3.405,2.462,3.314
460,1.4371,3.413,2.462,3.2074
461,1.4403,3.421,2.462,2.3373
462,1.4427,3.426,2.462,3.2445
463,1.446,3.434,2.462,3.1407
464,1.4491,3.442,2.462,3.1555
465,1.4523,3.449,2.462,3.006
466,1.4554,3.457,2.462,3.0504
467,1.4585,3.464,2.462,3.1746
468,1.4617,3.471,2.462,2.9395
469,1.4647,3.479,2.462,2.3826
470,1.4671,3.484,2.462,2.2027
471,1.4693,3.49,2.462,2.1653
472,1.4715,3.495,2.462,2.2445
473,1.4738,3.5,2.462,2.4827
474,1.4763,3.506,2.462,2.4599
475,1.4788,3.512,2.462,2.4536
476,1.4813,3.518,2.462,2.3291
477,1.4836,3.524,2.462,2.3763
478,1.486,3.529,2.462,2.396
479,1.4885,3.535,2.462,2.4551
480,1.491,3.541,2.462,3.4203
481,1.4944,3.549,2.462,3.5111
482,1.4981,3.558,2.511,3.7849
483,1.502,3.567,2.511,3.5679
484,1.5056,3.576,2.561,3.29
485,1.5091,3.584,2.611,4.0227
486,1.5132,3.594,2.611,3.7664
487,1.5171,3.603,2.661,3.6439
488,1.5208,3.612,2.71,3.933
489,1.5249,3.622,2.71,4.1258
490,1.5291,3.632,2.76,3.6336
491,1.5329,3.641,2.81,3.7561
492,1.5367,3.65,2.859,3.7752
493,1.5406,3.659,2.859,3.3808
494,1.5441,3.667,2.909,3.5289
495,1.5478,3.676,2.959,3.7788
496,1.5516,3.685,2.959,3.2379
497,1.555,3.693,3.009,3.4191
498,1.5585,3.702,3.058,3.7496
499,1.5624,3.711,3.058,3.3935
500,1.5659,3.719,3.108,3.4804
501,1.5696,3.728,3.158,3.7865
502,1.5735,3.737,3.158,3.1514
503,1.5767,3.745,3.208,3.4854
504,1.5803,3.753,3.208,3.4845
505,1.5839,3.762,3.257,3.1155
506,1.5871,3.769,3.307,3.8318
507,1.5911,3.779,3.307,4.0724
508,1.5952,3.789,3.357,3.4948
509,1.5989,3.797,3.406,3.8141
510,1.6028,3.807,3.456,3.9098
511,1.6068,3.816,3.456,3.5102
512,1.6105,3.825,3.506,3.0365
513,1.6136,3.832,3.541,3.7208
514,1.6174,3.841,3.541,3.2241
515,1.6207,3.849,3.541,3.6969
516,1.6245,3.858,3.541,3.2221
517,1.6278,3.866,3.541,3.2511
518,1.6311,3.874,3.541,3.1823
519,1.6343,3.882,3.541,3.154
520,1.6375,3.889,3.541,3.1786
521,1.6408,3.897,3.541,3.2204
522,1.644,3.905,3.541,3.1654
523,1.6473,3.912,3.541,3.8211
524,1.6511,3.921,3.541,3.3861
525,1.6546,3.93,3.541,3.8679
526,1.6585,3.939,3.541,3.0773
527,1.6616,3.946,3.541,3.4988
528,1.6652,3.955,3.541,2.441
529,1.6677,3.961,3.541,3.7231
530,1.6715,3.97,3.541,3.2085
531,1.6747,3.978,3.541,3.7127
532,1.6785,3.986,3.541,2.9775
533,1.6815,3.994,3.541,3.6393
534,1.6852,4.002,3.541,3.6117
535,1.6889,4.011,3.541,3.4126
536,1.6923,4.019,3.541,3.2767
537,1.6956,4.027,3.541,3.1971
538,1.6989,4.035,3.541,3.1988
539,1.7021,4.042,3.541,2.9417
540,1.7051,4.05,3.541,3.5652
541,1.7087,4.058,3.541,3.1359
542,1.7118,4.066,3.541,3.4426
543,1.7153,4.074,3.541,3.4761
544,1.7188,4.082,3.541,2.8429
545,1.7217,4.089,3.541,3.2317
546,1.725,4.097,3.541,3.0852
547,1.7281,4.104,3.541,3.1697
548,1.7313,4.112,3.541,3.178
549,1.7345,4.119,3.541,2.7942
550,1.7373,4.126,3.541,3.2375
551,1.7407,4.134,3.541,2.8942
552,1.7436,4.141,3.541,3.1974
553,1.7468,4.149,3.541,3.2943
554,1.7502,4.157,3.541,3.1028
555,1.7533,4.164,3.541,3.4372
556,1.7568,4.172,3.541,2.5689
557,1.7594,4.178,3.541,3.2447
558,1.7626,4.186,3.541,2.9829
559,1.7657,4.193,3.541,3.4691
560,1.7692,4.202,3.541,3.4855
561,1.7727,4.21,3.541,3.1468
562,1.7758,4.218,3.541,2.6542
563,1.7785,4.224,3.541,3.2
564,1.7818,4.232,3.541,3.2175
565,1.785,4.239,3.541,3.1387
566,1.7882,4.247,3.541,3.2958
567,1.7915,4.255,3.541,2.6717
568,1.7942,4.261,3.541,3.2602
569,1.7975,4.269,3.541,2.7654
570,1.8003,4.276,3.541,3.0277
571,1.8034,4.283,3.541,3.0663
572,1.8065,4.29,3.541,3.5522
573,1.81,4.299,3.541,3.198
574,1.8133,4.307,3.541,2.8284
575,1.8161,4.313,3.541,3.5304
576,1.8197,4.322,3.541,2.6802
577,1.8224,4.328,3.541,3.2184
578,1.8257,4.336,3.541,3.2214
579,1.8289,4.344,3.541,3.771
580,1.8327,4.353,3.541,3.604
581,1.8364,4.361,3.541,3.8417
582,1.8403,4.371,3.541,3.2354
583,1.8435,4.378,3.541,3.4273
584,1.847,4.387,3.541,3.3129
585,1.8504,4.395,3.541,2.8527
586,1.8532,4.401,3.541,3.1131
587,1.8564,4.409,3.541,2.7928
588,1.8592,4.416,3.541,2.9823
589,1.8622,4.423,3.541,3.3187
590,1.8656,4.431,3.541,2.7829
591,1.8684,4.437,3.541,3.7032
592,1.8721,4.446,3.541,3.0396
593,1.8752,4.454,3.541,3.4063
594,1.8786,4.462,3.541,3.1611
595,1.8818,4.469,3.541,3.2002
596,1.8851,4.477,3.541,3.3017
597,1.8884,4.485,3.541,3.0918
598,1.8915,4.492,3.541,3.2697
599,1.8948,4.5,3.541,2.5603
600,1.8974,4.506,3.541,3.2292
601,1.9007,4.514,3.541,3.3076
602,1.9041,4.522,3.541,3.2414
603,1.9074,4.53,3.541,3.2755
604,1.9107,4.538,3.541,3.0116
605,1.9137,4.545,3.541,3.37
606,1.9171,4.553,3.541,2.6622
607,1.9198,4.56,3.541,3.1575
608,1.923,4.567,3.541,2.9093
609,1.9259,4.574,3.541,3.0079
610,1.929,4.581,3.541,2.9844
611,1.932,4.589,3.541,2.5618
612,1.9346,4.595,3.541,3.1519
613,1.9378,4.602,3.541,2.7801
614,1.9406,4.609,3.541,3.217
615,1.9438,4.617,3.541,2.9748
616,1.9468,4.624,3.541,2.7538
617,1.9496,4.63,3.541,3.0067
618,1.9527,4.638,3.541,2.6627
619,1.9554,4.644,3.541,3.0823
620,1.9585,4.651,3.541,3.3094
621,1.9618,4.659,3.541,3.4455
622,1.9653,4.668,3.541,3.4284
623,1.9688,4.676,3.541,3.3763
624,1.9722,4.684,3.541,2.468
625,1.9747,4.69,3.541,3.3823
626,1.9781,4.698,3.541,3.1087
627,1.9813,4.705,3.541,3.18
628,1.9845,4.713,3.541,3.222
629,1.9877,4.721,3.541,3.5007
630,1.9913,4.729,3.541,3.3611
631,1.9947,4.737,3.541,3.3713
632,1.9981,4.745,3.541,3.3087
633,2.0014,4.753,3.541,3.1485
634,2.0046,4.761,3.541,3.4526
635,2.0081,4.769,3.541,2.9733
636,2.0111,4.776,3.541,3.5596
637,2.0147,4.785,3.541,2.6751
638,2.0174,4.791,3.541,3.1272
639,2.0206,4.799,3.541,3.0575
640,2.0237,4.806,3.541,3.4066
641,2.0271,4.814,3.541,3.0153
642,2.0302,4.822,3.541,2.6862
643,2.0329,4.828,3.541,2.8801
644,2.0358,4.835,3.541,2.5502
645,2.0384,4.841,3.541,3.1428
646,2.0416,4.849,3.541,3.2706
647,2.0449,4.857,3.541,3.2572
648,2.0481,4.864,3.541,3.0345
649,2.0512,4.872,3.541,2.5954
650,2.0538,4.878,3.541,3.106
651,2.057,4.885,3.541,2.8398
652,2.0599,4.892,3.541,3.5226
653,2.0634,4.901,3.541,3.2692
654,2.0667,4.909,3.541,3.1788
655,2.07,4.916,3.541,3.2202
656,2.0732,4.924,3.541,3.3189
657,2.0766,4.932,3.541,3.3254
658,2.0799,4.94,3.541,2.7369
659,2.0827,4.946,3.541,3.5196
660,2.0863,4.955,3.541,2.6376
661,2.0889,4.961,3.541,3.1342
662,2.0921,4.969,3.541,3.1613
663,2.0953,4.976,3.541,3.4847
664,2.0988,4.985,3.541,3.3166
665,2.1022,4.993,3.541,3.0573
666,2.1053,5.0,3.541,3.2909
667,2.1086,5.008,3.541,3.3922
668,2.112,5.016,3.541,3.2074
669,2.1153,5.024,3.541,2.7299
670,2.118,5.03,3.541,3.6276
671,2.1217,5.039,3.541,3.0007
672,2.1248,5.046,3.541,3.2738
673,2.1281,5.054,3.541,2.5598
674,2.1307,5.06,3.541,2.4418
675,2.1332,5.066,3.541,2.3369
676,2.1355,5.072,3.541,2.2378
677,2.1378,5.077,3.541,2.1913
678,2.14,5.083,3.541,2.2039
679,2.1422,5.088,3.541,2.1761
680,2.1444,5.093,3.541,2.2024
681,2.1467,5.098,3.541,2.182
682,2.1489,5.104,3.541,2.1118
683,2.151,5.109,3.541,2.2475
684,2.1533,5.114,3.541,2.4506
685,2.1558,5.12,3.541,3.9106
686,2.1598,5.129,3.591,4.1694
687,2.164,5.14,3.591,3.596
688,2.1677,5.148,3.64,3.5686
689,2.1715,5.157,3.69,3.8694
690,2.1754,5.167,3.69,3.3725
691,2.1789,5.175,3.74,3.3994
692,2.1824,5.183,3.79,3.7696
693,2.1863,5.193,3.79,3.244
694,2.1897,5.201,3.839,3.3702
695,2.1932,5.209,3.889,3.7135
696,2.197,5.218,3.889,3.2635
697,2.2004,5.226,3.939,3.448
698,2.204,5.234,3.988,3.9577
699,2.208,5.244,3.988,3.8971
700,2.2121,5.254,4.038,3.5761
701,2.2158,5.263,4.088,4.0078
702,2.22,5.272,4.088,4.0563
703,2.2241,5.282,4.138,3.485
704,2.2277,5.291,4.187,3.7071
705,2.2316,5.3,4.237,3.9458
