query_index,elapsed_sec,target_pressure_pct,actual_pressure_pct,latency_ms
1,0.0,0.0,0.0,8.6404
2,0.0092,0.011,0.0,4.0934
3,0.0134,0.017,0.0,3.7931
4,0.0173,0.022,0.0,3.9669
5,0.0213,0.027,0.0,3.5958
6,0.025,0.031,0.0,3.5265
7,0.0286,0.036,0.031,3.5246
8,0.0322,0.04,0.031,3.3849
9,0.0357,0.045,0.031,3.512
10,0.0393,0.049,0.031,3.5555
11,0.0429,0.054,0.031,3.8004
12,0.0468,0.058,0.031,3.5817
13,0.0505,0.063,0.031,3.6752
14,0.0542,0.068,0.031,3.7209
15,0.058,0.073,0.063,3.5193
16,0.0616,0.077,0.063,3.55
17,0.0652,0.082,0.063,3.3967
18,0.0687,0.086,0.063,3.3977
19,0.0722,0.09,0.063,3.5669
20,0.0759,0.095,0.063,3.8347
21,0.0798,0.1,0.063,3.7991
22,0.0836,0.105,0.1,3.5429
23,0.0873,0.109,0.1,3.4107
24,0.0908,0.113,0.1,3.6888
25,0.0945,0.118,0.1,3.4575
26,0.0981,0.123,0.1,3.5773
27,0.1017,0.127,0.1,3.5612
28,0.1054,0.132,0.1,3.7749
29,0.1092,0.137,0.1,3.6287
30,0.1129,0.141,0.132,3.8506
31,0.1169,0.146,0.132,3.4266
32,0.1204,0.15,0.132,3.5779
33,0.124,0.155,0.132,3.8776
34,0.128,0.16,0.132,3.4612
35,0.1316,0.164,0.132,3.47
36,0.1351,0.169,0.132,3.5259
37,0.1387,0.173,0.164,3.5779
38,0.1424,0.178,0.164,3.6354
39,0.1461,0.183,0.164,3.4954
40,0.1497,0.187,0.164,3.8044
41,0.1536,0.192,0.164,3.6375
42,0.1573,0.197,0.164,3.5825
43,0.161,0.201,0.164,3.8569
44,0.1649,0.206,0.201,3.7828
45,0.1687,0.211,0.201,3.6541
46,0.1725,0.216,0.201,3.6532
47,0.1762,0.22,0.201,3.8303
48,0.1802,0.225,0.201,3.6908
49,0.184,0.23,0.201,3.5392
50,0.1876,0.234,0.201,3.4452
51,0.1912,0.239,0.201,3.7856
52,0.195,0.244,0.234,4.1479
53,0.1993,0.249,0.234,3.9732
54,0.2033,0.254,0.234,4.4316
55,0.2079,0.26,0.234,4.3864
56,0.2124,0.265,0.234,3.7532
57,0.2162,0.27,0.234,3.9508
58,0.2203,0.275,0.27,3.7828
59,0.2242,0.28,0.27,3.6024
60,0.2279,0.285,0.27,3.7154
61,0.2317,0.29,0.27,3.3443
62,0.2351,0.294,0.27,3.5904
63,0.2387,0.298,0.27,3.6472
64,0.2425,0.303,0.27,3.5204
65,0.2461,0.308,0.303,3.4572
66,0.2496,0.312,0.303,3.2789
67,0.253,0.316,0.303,3.7367
68,0.2568,0.321,0.303,3.3983
69,0.2603,0.325,0.303,3.6701
70,0.2641,0.33,0.303,3.3273
71,0.2675,0.334,0.303,3.4102
72,0.271,0.339,0.303,3.2675
73,0.2743,0.343,0.339,3.4174
74,0.2778,0.347,0.339,3.3832
75,0.2812,0.352,0.339,3.341
76,0.2847,0.356,0.339,3.392
77,0.2881,0.36,0.339,3.5976
78,0.2918,0.365,0.339,3.3274
79,0.2952,0.369,0.339,3.4486
80,0.2987,0.373,0.339,4.2075
81,0.303,0.379,0.369,3.7435
82,0.3069,0.384,0.369,3.4787
83,0.3105,0.388,0.369,3.6009
84,0.3141,0.393,0.369,3.4206
85,0.3177,0.397,0.369,3.4261
86,0.3212,0.401,0.369,3.3948
87,0.3247,0.406,0.369,3.3576
88,0.3281,0.41,0.406,3.3756
89,0.3316,0.414,0.406,3.2946
90,0.3349,0.419,0.406,3.3055
91,0.3383,0.423,0.406,3.5554
92,0.342,0.427,0.406,3.2377
93,0.3453,0.432,0.406,3.3028
94,0.3487,0.436,0.406,3.3744
95,0.3521,0.44,0.406,3.7043
96,0.3559,0.445,0.44,3.4116
97,0.3594,0.449,0.44,3.3449
98,0.3628,0.454,0.44,3.2258
99,0.3661,0.458,0.44,3.439
100,0.3696,0.462,0.44,3.2705
101,0.3731,0.466,0.44,3.5002
102,0.3767,0.471,0.44,3.6759
103,0.3805,0.476,0.44,4.0583
104,0.3846,0.481,0.471,3.7913
105,0.3885,0.486,0.471,3.8449
106,0.3924,0.491,0.471,3.4931
107,0.396,0.495,0.471,3.5671
108,0.3997,0.5,0.471,3.3746
109,0.4031,0.504,0.471,3.2928
110,0.4065,0.508,0.471,3.4985
111,0.4101,0.513,0.508,3.4663
112,0.4137,0.517,0.508,3.3933
113,0.4172,0.521,0.508,3.3435
114,0.4206,0.526,0.508,3.3179
115,0.424,0.53,0.508,3.407
116,0.4275,0.534,0.508,3.253
117,0.4308,0.539,0.508,3.3992
118,0.4343,0.543,0.508,3.7701
119,0.4382,0.548,0.539,3.897
120,0.4422,0.553,0.539,3.7319
121,0.446,0.558,0.539,3.6193
122,0.4497,0.562,0.539,3.5547
123,0.4533,0.567,0.539,3.5632
124,0.457,0.571,0.539,3.453
125,0.4605,0.576,0.539,3.5454
126,0.4643,0.58,0.576,4.4855
127,0.4688,0.586,0.576,3.8989
128,0.4728,0.591,0.576,3.1995
129,0.4761,0.595,0.576,3.4716
130,0.4797,0.6,0.576,3.4098
131,0.4832,0.604,0.576,3.4969
132,0.4867,0.608,0.576,3.4529
133,0.4903,0.613,0.608,3.5161
134,0.4939,0.617,0.608,3.7566
135,0.4977,0.622,0.608,3.5143
136,0.5013,0.627,0.608,3.2227
137,0.5046,0.631,0.608,3.625
138,0.5084,0.635,0.608,3.3426
139,0.5118,0.64,0.608,3.4359
140,0.5153,0.644,0.608,3.4338
141,0.5188,0.649,0.644,3.6778
142,0.5226,0.653,0.644,3.6849
143,0.5263,0.658,0.644,3.3727
144,0.5298,0.662,0.644,3.7584
145,0.5336,0.667,0.644,3.6368
146,0.5374,0.672,0.644,3.844
147,0.5413,0.677,0.644,4.7619
148,0.5461,0.683,0.677,3.6943
149,0.5499,0.687,0.677,3.4636
150,0.5535,0.692,0.677,3.4255
151,0.5572,0.696,0.677,3.4171
152,0.5607,0.701,0.677,3.6378
153,0.5644,0.706,0.677,3.5446
154,0.5681,0.71,0.677,3.6478
155,0.5718,0.715,0.677,3.8083
156,0.5757,0.72,0.71,3.9993
157,0.5798,0.725,0.71,3.7367
158,0.5837,0.73,0.71,3.6156
159,0.5873,0.734,0.71,3.4544
160,0.5909,0.739,0.71,3.3244
161,0.5943,0.743,0.71,3.5722
162,0.598,0.747,0.71,3.284
163,0.6013,0.752,0.743,3.148
164,0.6046,0.756,0.743,3.258
165,0.6079,0.76,0.743,3.2156
166,0.6112,0.764,0.743,3.414
167,0.6147,0.768,0.743,3.3691
168,0.6182,0.773,0.743,3.289
169,0.6216,0.777,0.743,3.4869
170,0.6251,0.781,0.743,3.8437
171,0.6291,0.786,0.777,3.2183
172,0.6324,0.79,0.777,3.487
173,0.6359,0.795,0.777,3.4667
174,0.6395,0.799,0.777,3.4018
175,0.643,0.804,0.777,3.2515
176,0.6464,0.808,0.777,3.4796
177,0.6499,0.812,0.777,3.3167
178,0.6533,0.817,0.777,3.5315
179,0.657,0.821,0.812,3.4304
180,0.6605,0.826,0.812,3.4597
181,0.664,0.83,0.812,3.7633
182,0.6679,0.835,0.812,3.4804
183,0.6714,0.839,0.812,3.8246
184,0.6753,0.844,0.812,3.5536
185,0.679,0.849,0.812,3.6905
186,0.6827,0.853,0.844,3.3801
187,0.6862,0.858,0.844,3.4293
188,0.6897,0.862,0.844,3.2989
189,0.6931,0.866,0.844,3.4279
190,0.6967,0.871,0.844,3.3522
191,0.7001,0.875,0.844,3.4368
192,0.7036,0.88,0.844,3.3872
193,0.7071,0.884,0.844,3.529
194,0.7107,0.888,0.88,3.7536
195,0.7145,0.893,0.88,3.4991
196,0.7181,0.898,0.88,3.2404
197,0.7214,0.902,0.88,3.43
198,0.7249,0.906,0.88,3.3171
199,0.7283,0.91,0.88,3.8338
200,0.7323,0.915,0.88,3.5682
201,0.736,0.92,0.915,3.5487
202,0.7397,0.925,0.915,3.5804
203,0.7434,0.929,0.915,3.525
204,0.7471,0.934,0.915,3.9684
205,0.7511,0.939,0.915,3.6526
206,0.755,0.944,0.915,3.515
207,0.7585,0.948,0.915,3.6877
208,0.7623,0.953,0.948,4.1043
209,0.7665,0.958,0.948,3.8854
210,0.7705,0.963,0.948,3.4878
211,0.7741,0.968,0.948,3.4834
212,0.7777,0.972,0.948,3.1796
213,0.7809,0.976,0.948,3.4408
214,0.7845,0.981,0.948,3.0807
215,0.7877,0.985,0.948,3.0994
216,0.7908,0.989,0.981,3.021
217,0.7939,0.992,0.981,3.0695
218,0.7971,0.996,0.981,3.0582
219,0.8002,1.0,0.981,3.0811
220,0.8034,1.004,0.981,2.9523
221,0.8064,1.008,0.981,3.165
222,0.8096,1.012,0.981,3.2662
223,0.813,1.016,0.981,3.7963
224,0.8169,1.021,1.016,3.3508
225,0.8203,1.025,1.016,3.3992
226,0.8238,1.03,1.016,3.2142
227,0.8271,1.034,1.016,3.3015
228,0.8305,1.038,1.016,3.2352
229,0.8338,1.042,1.016,3.0597
230,0.8369,1.046,1.016,3.095
231,0.8401,1.05,1.016,2.9859
232,0.8432,1.054,1.016,3.3591
233,0.8466,1.058,1.05,3.0836
234,0.8498,1.062,1.05,3.0827
235,0.8529,1.066,1.05,3.1057
236,0.8561,1.07,1.05,3.0528
237,0.8592,1.074,1.05,3.1375
238,0.8625,1.078,1.05,3.0685
239,0.8656,1.082,1.05,2.9559
240,0.8687,1.086,1.05,3.0171
241,0.8717,1.09,1.086,2.9612
242,0.8748,1.093,1.086,2.8985
243,0.8778,1.097,1.086,3.1397
244,0.881,1.101,1.086,3.2697
245,0.8843,1.105,1.086,3.1329
246,0.8875,1.109,1.086,3.0231
247,0.8906,1.113,1.086,2.9862
248,0.8937,1.117,1.086,3.143
249,0.8969,1.121,1.086,3.1151
250,0.9001,1.125,1.117,3.0413
251,0.9033,1.129,1.117,3.2606
252,0.9066,1.133,1.117,3.1437
253,0.9098,1.137,1.117,3.4194
254,0.9133,1.142,1.117,3.5081
255,0.9169,1.146,1.117,3.2207
256,0.9202,1.15,1.117,3.157
257,0.9235,1.154,1.117,3.4548
258,0.927,1.159,1.15,3.1179
259,0.9302,1.163,1.15,3.1459
260,0.9335,1.167,1.15,3.0297
261,0.9366,1.171,1.15,3.1719
262,0.9398,1.175,1.15,3.0747
263,0.943,1.179,1.15,3.0661
264,0.9461,1.183,1.15,3.311
265,0.9495,1.187,1.15,3.2979
266,0.9529,1.191,1.187,3.1565
267,0.9561,1.195,1.187,2.9814
268,0.9592,1.199,1.187,3.1578
269,0.9624,1.203,1.187,3.1955
270,0.9657,1.207,1.187,3.4316
271,0.9692,1.211,1.187,3.1736
272,0.9725,1.216,1.187,3.2314
273,0.9758,1.22,1.187,3.0623
274,0.9789,1.224,1.187,3.3177
275,0.9823,1.228,1.22,2.989
276,0.9854,1.232,1.22,3.0665
277,0.9885,1.236,1.22,2.973
278,0.9916,1.239,1.22,3.2491
279,0.9949,1.244,1.22,3.0498
280,0.998,1.248,1.22,3.1166
281,1.0012,1.252,1.22,2.9781
282,1.0043,1.255,1.22,3.3057
283,1.0077,1.26,1.252,3.177
284,1.0109,1.264,1.252,3.1428
285,1.0142,1.268,1.252,2.8709
286,1.0171,1.271,1.252,3.058
287,1.0202,1.275,1.252,2.883
288,1.0232,1.279,1.252,3.1421
289,1.0264,1.283,1.252,2.9439
290,1.0294,1.287,1.252,2.901
291,1.0324,1.291,1.252,3.4858
292,1.036,1.295,1.287,3.171
293,1.0392,1.299,1.287,3.0496
294,1.0424,1.303,1.287,2.9457
295,1.0454,1.307,1.287,3.1053
296,1.0486,1.311,1.287,2.9696
297,1.0516,1.315,1.287,3.0651
298,1.0547,1.318,1.287,3.2331
299,1.0581,1.323,1.287,3.152
300,1.0613,1.327,1.323,3.0835
301,1.0645,1.331,1.323,3.1485
302,1.0677,1.335,1.323,3.6419
303,1.0715,1.339,1.323,3.3596
304,1.0749,1.344,1.323,3.4978
305,1.0785,1.348,1.323,3.4568
306,1.0821,1.353,1.323,3.5167
307,1.0857,1.357,1.323,3.2563
308,1.089,1.361,1.353,3.2811
309,1.0924,1.365,1.353,3.0742
310,1.0955,1.369,1.353,3.042
311,1.0986,1.373,1.353,2.9968
312,1.1017,1.377,1.353,3.0692
313,1.1048,1.381,1.353,2.9407
314,1.1079,1.385,1.353,3.0719
315,1.111,1.389,1.353,3.1712
316,1.1143,1.393,1.353,3.0425
317,1.1174,1.397,1.389,3.0423
318,1.1205,1.401,1.389,3.1205
319,1.1237,1.405,1.389,2.9387
320,1.1267,1.408,1.389,3.3039
321,1.1301,1.413,1.389,3.0641
322,1.1333,1.417,1.389,3.0681
323,1.1364,1.421,1.389,2.9386
324,1.1394,1.424,1.389,3.1653
325,1.1427,1.428,1.421,3.1535
326,1.1459,1.432,1.421,3.0535
327,1.149,1.436,1.421,3.0397
328,1.1522,1.44,1.421,2.9444
329,1.1552,1.444,1.421,3.0111
330,1.1583,1.448,1.421,3.0641
331,1.1614,1.452,1.421,2.8494
332,1.1643,1.455,1.421,3.106
333,1.1675,1.459,1.421,3.1868
334,1.1708,1.463,1.455,3.0037
335,1.1739,1.467,1.455,2.9875
336,1.1769,1.471,1.455,3.0296
337,1.1801,1.475,1.455,3.0277
338,1.1832,1.479,1.455,3.1099
339,1.1863,1.483,1.455,3.1567
340,1.1896,1.487,1.455,2.9024
341,1.1926,1.491,1.455,3.186
342,1.1958,1.495,1.491,3.0188
343,1.1989,1.499,1.491,3.0804
344,1.2021,1.503,1.491,3.032
345,1.2052,1.507,1.491,3.2342
346,1.2085,1.511,1.491,3.1788
347,1.2118,1.515,1.491,3.4138
348,1.2153,1.519,1.491,3.6502
349,1.219,1.524,1.491,3.0361
350,1.2223,1.528,1.491,3.09
351,1.2256,1.532,1.524,3.2495
352,1.2289,1.536,1.524,3.0283
353,1.232,1.54,1.524,3.5177
354,1.2357,1.545,1.524,3.5904
355,1.2393,1.549,1.524,6.0172
356,1.2455,1.557,1.524,4.6283
357,1.2503,1.563,1.557,4.3808
358,1.2548,1.569,1.557,4.4586
359,1.2594,1.574,1.557,4.0969
360,1.2636,1.579,1.557,4.2062
361,1.2679,1.585,1.557,3.5758
362,1.2716,1.589,1.557,4.7957
363,1.2765,1.596,1.557,3.8149
364,1.2804,1.601,1.589,3.1135
365,1.2837,1.605,1.589,3.2481
366,1.287,1.609,1.589,3.1204
367,1.2902,1.613,1.589,2.9828
368,1.2933,1.617,1.589,3.162
369,1.2965,1.621,1.589,3.0118
370,1.2996,1.624,1.589,3.1702
371,1.3028,1.629,1.589,3.2437
372,1.3062,1.633,1.624,3.2105
373,1.3095,1.637,1.624,2.9861
374,1.3125,1.641,1.624,2.9575
375,1.3156,1.644,1.624,3.1023
376,1.3188,1.648,1.624,3.0362
377,1.3219,1.652,1.624,3.0304
378,1.325,1.656,1.624,2.9544
379,1.328,1.66,1.624,3.3044
380,1.3314,1.664,1.66,3.3268
381,1.3348,1.669,1.66,3.137
382,1.338,1.673,1.66,2.9896
383,1.3411,1.676,1.66,2.9817
384,1.3442,1.68,1.66,3.0542
385,1.3473,1.684,1.66,3.1493
386,1.3505,1.688,1.66,3.1084
387,1.3537,1.692,1.66,3.0329
388,1.3568,1.696,1.66,3.2508
389,1.3602,1.7,1.692,3.089
390,1.3633,1.704,1.692,3.0603
391,1.3665,1.708,1.692,3.0898
392,1.3697,1.712,1.692,2.9687
393,1.3727,1.716,1.692,3.0845
394,1.3759,1.72,1.692,3.2192
395,1.3792,1.724,1.692,3.2292
396,1.3825,1.728,1.692,3.1274
397,1.3857,1.732,1.728,3.084
398,1.3889,1.736,1.728,3.2111
399,1.3922,1.74,1.728,3.1824
400,1.3955,1.744,1.728,3.1674
401,1.3988,1.748,1.728,2.9902
402,1.4018,1.752,1.728,3.1892
403,1.4051,1.756,1.728,3.2333
404,1.4084,1.761,1.728,3.2097
405,1.4117,1.765,1.761,3.5519
406,1.4154,1.769,1.761,3.0697
407,1.4185,1.773,1.761,3.0459
408,1.4217,1.777,1.761,2.9076
409,1.4247,1.781,1.761,3.1688
410,1.4279,1.785,1.761,3.1066
411,1.4311,1.789,1.761,3.1823
412,1.4344,1.793,1.761,2.9569
413,1.4374,1.797,1.761,3.0335
414,1.4405,1.801,1.793,3.0266
415,1.4436,1.805,1.793,3.1893
416,1.4469,1.809,1.793,2.9707
417,1.45,1.812,1.793,3.1063
418,1.4531,1.816,1.793,3.0283
419,1.4563,1.82,1.793,3.1631
420,1.4595,1.824,1.793,3.1607
421,1.4628,1.828,1.793,3.2828
422,1.4661,1.833,1.828,3.2413
423,1.4694,1.837,1.828,2.9899
424,1.4725,1.841,1.828,3.0064
425,1.4756,1.845,1.828,2.9959
426,1.4787,1.848,1.828,3.4838
427,1.4822,1.853,1.828,3.1648
428,1.4855,1.857,1.828,2.9538
429,1.4885,1.861,1.828,3.3052
430,1.4919,1.865,1.861,3.0621
431,1.4951,1.869,1.861,3.2047
432,1.4984,1.873,1.861,2.9761
433,1.5014,1.877,1.861,2.986
434,1.5045,1.881,1.861,3.0029
435,1.5076,1.884,1.861,3.1464
436,1.5108,1.888,1.861,3.0398
437,1.5139,1.892,1.861,3.1368
438,1.5171,1.896,1.861,3.0504
439,1.5202,1.9,1.892,3.0769
440,1.5234,1.904,1.892,2.9821
441,1.5265,1.908,1.892,2.9892
442,1.5295,1.912,1.892,2.9952
443,1.5326,1.916,1.892,3.0833
444,1.5358,1.92,1.892,3.1248
445,1.539,1.924,1.892,3.1075
446,1.5422,1.928,1.892,2.9582
447,1.5452,1.932,1.892,3.1749
448,1.5485,1.936,1.928,3.1424
449,1.5517,1.94,1.928,3.2585
450,1.555,1.944,1.928,2.9936
451,1.5582,1.948,1.928,3.3221
452,1.5616,1.952,1.928,3.0447
453,1.5647,1.956,1.928,3.2567
454,1.5681,1.96,1.928,3.1921
455,1.5714,1.964,1.928,3.5862
456,1.5751,1.969,1.96,3.1687
457,1.5783,1.973,1.96,3.3781
458,1.5818,1.977,1.96,3.0277
459,1.5849,1.981,1.96,2.9867
460,1.588,1.985,1.96,3.0814
461,1.5911,1.989,1.96,3.0038
462,1.5942,1.993,1.96,3.0406
463,1.5973,1.997,1.96,3.0933
464,1.6005,2.001,1.993,3.0827
465,1.6037,2.005,1.993,3.1916
466,1.6069,2.009,1.993,2.97
467,1.61,2.012,1.993,3.1903
468,1.6133,2.017,1.993,2.9745
469,1.6163,2.02,1.993,2.9779
470,1.6194,2.024,1.993,3.2954
471,1.6228,2.028,1.993,3.0422
472,1.6259,2.032,1.993,3.0425
473,1.629,2.036,2.028,2.9363
474,1.6321,2.04,2.028,3.0086
475,1.6351,2.044,2.028,2.9474
476,1.6382,2.048,2.028,3.0825
477,1.6413,2.052,2.028,2.962
478,1.6444,2.055,2.028,2.9516
479,1.6474,2.059,2.028,3.1039
480,1.6506,2.063,2.028,3.1362
481,1.6538,2.067,2.063,2.9045
482,1.6568,2.071,2.063,3.0303
483,1.6599,2.075,2.063,3.0864
484,1.6631,2.079,2.063,3.4461
485,1.6666,2.083,2.063,4.2071
486,1.6709,2.089,2.063,3.9409
487,1.675,2.094,2.063,3.7788
488,1.6789,2.099,2.063,3.6239
489,1.6826,2.103,2.094,3.7978
490,1.6865,2.108,2.094,3.6386
491,1.6902,2.113,2.094,4.0523
492,1.6944,2.118,2.094,4.2934
493,1.6989,2.124,2.094,4.0433
494,1.703,2.129,2.094,3.7939
495,1.7069,2.134,2.129,4.1241
496,1.7111,2.139,2.129,4.3387
497,1.7156,2.144,2.129,5.3664
498,1.7211,2.151,2.129,4.9865
499,1.7263,2.158,2.129,5.1057
500,1.7316,2.164,2.129,4.8363
501,1.7366,2.171,2.164,4.9396
502,1.7416,2.177,2.164,3.7543
503,1.7455,2.182,2.164,4.0389
504,1.7496,2.187,2.164,3.6303
505,1.7533,2.192,2.164,3.2043
506,1.7566,2.196,2.164,3.4492
507,1.7602,2.2,2.164,3.1492
508,1.7634,2.204,2.196,3.3152
509,1.7668,2.209,2.196,3.021
510,1.7699,2.212,2.196,3.2425
511,1.7733,2.217,2.196,3.0705
512,1.7764,2.221,2.196,3.2703
513,1.7798,2.225,2.196,3.1995
514,1.7831,2.229,2.196,3.2502
515,1.7864,2.233,2.196,3.1109
516,1.7896,2.237,2.229,3.4452
517,1.7931,2.241,2.229,3.1011
518,1.7963,2.245,2.229,3.2147
519,1.7996,2.25,2.229,3.0003
520,1.8027,2.253,2.229,3.3181
521,1.8061,2.258,2.229,3.1311
522,1.8093,2.262,2.229,3.2845
523,1.8127,2.266,2.229,3.1558
524,1.8159,2.27,2.262,3.1891
525,1.8192,2.274,2.262,3.0538
526,1.8223,2.278,2.262,3.3033
527,1.8257,2.282,2.262,3.1449
528,1.829,2.286,2.262,3.1119
529,1.8322,2.29,2.262,3.1771
530,1.8354,2.294,2.262,3.1452
531,1.8386,2.298,2.262,3.0974
532,1.8418,2.302,2.298,3.221
533,1.8451,2.306,2.298,3.0033
534,1.8482,2.31,2.298,3.3763
535,1.8517,2.315,2.298,3.0301
536,1.8548,2.318,2.298,3.2465
537,1.8581,2.323,2.298,3.0599
538,1.8612,2.327,2.298,3.1782
539,1.8645,2.331,2.298,3.287
540,1.8679,2.335,2.298,3.1518
541,1.8711,2.339,2.331,2.9933
542,1.8742,2.343,2.331,3.1094
543,1.8774,2.347,2.331,2.9469
544,1.8804,2.351,2.331,3.1609
545,1.8837,2.355,2.331,3.1353
546,1.8869,2.359,2.331,3.3001
547,1.8903,2.363,2.331,3.3945
548,1.8938,2.367,2.331,3.4186
549,1.8973,2.372,2.363,2.9387
550,1.9003,2.375,2.363,3.206
551,1.9036,2.38,2.363,3.0395
552,1.9068,2.383,2.363,3.2504
553,1.9101,2.388,2.363,3.341
554,1.9135,2.392,2.363,3.1781
555,1.9168,2.396,2.363,3.3858
556,1.9203,2.4,2.363,3.585
557,1.924,2.405,2.396,3.4057
558,1.9275,2.409,2.396,3.1247
559,1.9307,2.413,2.396,3.1816
560,1.934,2.417,2.396,3.0163
561,1.9371,2.421,2.396,3.2339
562,1.9404,2.426,2.396,3.1815
563,1.9437,2.43,2.396,3.2433
564,1.947,2.434,2.396,3.3772
565,1.9505,2.438,2.434,3.2083
566,1.9538,2.442,2.434,3.0353
567,1.9569,2.446,2.434,3.3534
568,1.9603,2.45,2.434,3.1865
569,1.9636,2.455,2.434,3.2587
570,1.967,2.459,2.434,2.9825
571,1.97,2.463,2.434,3.4231
572,1.9735,2.467,2.434,3.0522
573,1.9767,2.471,2.467,3.2228
574,1.98,2.475,2.467,3.0566
575,1.9831,2.479,2.467,3.3223
576,1.9866,2.483,2.467,2.979
577,1.9896,2.487,2.467,3.2357
578,1.993,2.491,2.467,2.9992
579,1.996,2.495,2.467,3.1913
580,1.9993,2.499,2.467,2.9574
581,2.0024,2.503,2.467,3.4208
582,2.0059,2.507,2.499,2.9774
583,2.0089,2.511,2.499,3.3003
584,2.0123,2.515,2.499,3.1808
585,2.0156,2.519,2.499,3.1494
586,2.0188,2.524,2.499,3.1067
587,2.022,2.528,2.499,3.2112
588,2.0254,2.532,2.499,3.0254
589,2.0285,2.536,2.499,3.3182
590,2.0319,2.54,2.532,3.026
591,2.035,2.544,2.532,3.218
592,2.0383,2.548,2.532,3.0436
593,2.0414,2.552,2.532,3.1512
594,2.0447,2.556,2.532,3.018
595,2.0478,2.56,2.532,3.1307
596,2.051,2.564,2.532,3.0173
597,2.0542,2.568,2.532,3.1624
598,2.0574,2.572,2.568,2.9612
599,2.0604,2.576,2.568,3.1731
600,2.0637,2.58,2.568,3.1717
601,2.067,2.584,2.568,3.3214
602,2.0705,2.588,2.568,3.0843
603,2.0736,2.592,2.568,3.3405
604,2.0771,2.596,2.568,3.1018
605,2.0802,2.6,2.568,3.3976
606,2.0837,2.605,2.568,3.1767
607,2.087,2.609,2.6,3.2184
608,2.0903,2.613,2.6,2.9775
609,2.0934,2.617,2.6,3.7336
610,2.0973,2.622,2.6,3.6583
611,2.101,2.626,2.6,4.0095
612,2.1051,2.631,2.6,4.1657
613,2.1094,2.637,2.6,3.5005
614,2.113,2.641,2.631,3.1718
615,2.1163,2.645,2.631,3.1075
616,2.1195,2.649,2.631,3.2731
617,2.1228,2.654,2.631,3.4225
618,2.1263,2.658,2.631,3.2872
619,2.1297,2.662,2.631,3.2832
620,2.1331,2.666,2.631,3.2686
621,2.1364,2.671,2.631,3.6357
622,2.1402,2.675,2.666,3.2404
623,2.1435,2.679,2.666,3.3898
624,2.147,2.684,2.666,2.9522
625,2.15,2.688,2.666,3.6634
626,2.1538,2.692,2.666,3.3741
627,2.1572,2.697,2.666,3.2911
628,2.1606,2.701,2.666,3.2774
629,2.164,2.705,2.666,3.2968
630,2.1675,2.709,2.701,3.1864
631,2.1708,2.714,2.701,3.3982
632,2.1743,2.718,2.701,3.1228
633,2.1775,2.722,2.701,3.0388
634,2.1806,2.726,2.701,3.2387
635,2.184,2.73,2.701,3.3273
636,2.1874,2.734,2.701,3.1132
637,2.1906,2.738,2.701,3.2408
638,2.1939,2.742,2.734,3.2585
639,2.1973,2.747,2.734,3.2348
640,2.2006,2.751,2.734,3.3343
641,2.204,2.755,2.734,3.1743
642,2.2073,2.759,2.734,3.4347
643,2.2108,2.764,2.734,3.3747
644,2.2143,2.768,2.734,3.7096
645,2.2181,2.773,2.734,3.0804
646,2.2213,2.777,2.768,3.4876
647,2.2248,2.781,2.768,3.0071
648,2.228,2.785,2.768,3.2705
649,2.2314,2.789,2.768,3.0794
650,2.2345,2.793,2.768,3.5256
651,2.2382,2.798,2.768,3.1904
652,2.2415,2.802,2.768,3.5019
653,2.2451,2.806,2.768,3.6469
654,2.2489,2.811,2.802,3.1224
655,2.2522,2.815,2.802,3.5277
656,2.2558,2.82,2.802,3.1437
657,2.2591,2.824,2.802,3.6492
658,2.2628,2.829,2.802,3.0718
659,2.266,2.832,2.802,3.2668
660,2.2693,2.837,2.802,3.1704
661,2.2726,2.841,2.837,3.5365
662,2.2762,2.845,2.837,3.2043
663,2.2795,2.849,2.837,3.4568
664,2.283,2.854,2.837,3.0187
665,2.2861,2.858,2.837,3.3678
666,2.2896,2.862,2.837,2.9568
667,2.2927,2.866,2.837,3.3708
668,2.2962,2.87,2.837,3.208
669,2.2995,2.874,2.87,3.4584
670,2.3031,2.879,2.87,3.2787
671,2.3064,2.883,2.87,3.4605
672,2.31,2.887,2.87,3.5284
673,2.3136,2.892,2.87,2.9487
674,2.3166,2.896,2.87,3.4212
675,2.3201,2.9,2.87,2.9896
676,2.3232,2.904,2.87,3.4545
677,2.3268,2.908,2.904,3.2193
678,2.3301,2.913,2.904,3.1882
679,2.3333,2.917,2.904,3.1045
680,2.3365,2.921,2.904,3.0897
681,2.3397,2.925,2.904,3.3193
682,2.3431,2.929,2.904,3.2786
683,2.3465,2.933,2.904,3.0822
684,2.3497,2.937,2.904,3.1884
685,2.353,2.941,2.937,3.06
686,2.3561,2.945,2.937,3.4604
687,2.3597,2.95,2.937,3.1984
688,2.3629,2.954,2.937,3.3765
689,2.3664,2.958,2.937,3.0263
690,2.3695,2.962,2.937,3.4573
691,2.3731,2.966,2.937,3.0613
692,2.3762,2.97,2.937,3.3567
693,2.3797,2.975,2.97,3.2786
694,2.383,2.979,2.97,3.4427
695,2.3866,2.983,2.97,3.2698
696,2.3899,2.987,2.97,3.3659
697,2.3934,2.992,2.97,3.3609
698,2.3968,2.996,2.97,3.224
699,2.4002,3.0,2.97,3.4306
700,2.4037,3.005,2.97,3.2506
701,2.4071,3.009,3.005,3.6873
702,2.4109,3.014,3.005,3.4014
703,2.4144,3.018,3.005,3.3605
704,2.4178,3.022,3.005,3.409
